"Brand","Model","Year","Age","KmDriven","Transmission","Owner","FuelType","PostedDate","IDR_Price"
Maruti Suzuki,maruti-suzuki-dzire,"2021",3,"88,000 km",Automatic,first,Petrol,Nov-24,124150000
Toyota,Corolla Altis,"2012",12,"51,000 km",Automatic,second,Hybrid/CNG,Nov-24,128925000
Honda,City,"2015",9,"38,000 km",Automatic,first,Hybrid/CNG,Nov-24,124150000
Maruti Suzuki,Eeco,"2015",9,"100,000 km",Manual,second,Hybrid/CNG,Nov-24,69715000
Hyundai,Creta,"2021",3,"14,125 km",Manual,first,Petrol,Nov-24,220032000
Toyota,Corolla,"2005",19,"65,000 km",Automatic,second,Hybrid/CNG,Nov-24,33425000
Maruti Suzuki,Wagon R,"2010",14,"54000.0 km",Manual,second,Hybrid/CNG,Nov-24,37245000
Honda,City,"2014",10,"680,000 km",Automatic,second,Petrol,Nov-24,68760000
Toyota,VELLFIRE,"2022",2,"17,000 km",Automatic,first,Petrol,Nov-24,2253799936
Tata,Harrier,"2020",4,"12,000 km",Automatic,first,Diesel,Nov-24,296049984
Hyundai,Grand i10,"2015",9,"114,000 km",Automatic,second,Petrol,Nov-24,71625000
Mini,Cooper Countryman,"2022",2,"25,000 km",Automatic,first,Petrol,Nov-24,759225024
Tata,Indica V2,"2016",8,"177,700 km",Manual,second,Diesel,Nov-24,25785000
Honda,City,"2013",11,"96,000 km",Automatic,second,Petrol,Nov-24,70479000
Maruti Suzuki,Wagon-R-1-0,"2022",2,"25,000 km",Manual,second,Hybrid/CNG,Nov-24,104095000
BMW,X1,"2022",2,"26,000 km",Automatic,first,Petrol,Nov-24,762089984
BMW,"5 Series","2011",13,"65,000 km",Automatic,second,Diesel,Oct-24,100275000
Hyundai,i10,"2010",14,"55,000 km",Manual,second,Hybrid/CNG,Nov-24,21010000
Tata,Nexon,"2015",9,"45,000 km",Manual,first,Hybrid/CNG,Nov-24,90725000
Maruti Suzuki,Ertiga,"2020",4,"80,000 km",Automatic,first,Hybrid/CNG,Nov-24,129880000
Hyundai,i10,"2010",14,"63,000 km",Manual,second,Hybrid/CNG,Nov-24,35526000
Maruti Suzuki,Celerio,"2017",7,"62,000 km",Automatic,second,Petrol,Nov-24,72962000
Volvo,S60,"2016",8,"51,000 km",Automatic,second,Diesel,Nov-24,343800000
Mercedes-Benz,C-Class,"2017",7,"33,000 km",Automatic,second,Petrol,Nov-24,1107800064
Maruti Suzuki,Baleno,"2017",7,"69,000 km",Automatic,first,Petrol,Nov-24,130835000
Honda,City,"2010",14,"92,000 km",Manual,first,Hybrid/CNG,Nov-24,23875000
BMW,"5 Series","2016",8,"47,000 km",Automatic,second,Diesel,Nov-24,477500000
Hyundai,Xcent Prime,"2018",6,"180,000 km",Manual,first,Hybrid/CNG,Nov-24,49660000
Tata,Nexon,"2021",3,"24,000 km",Manual,first,Petrol,Nov-24,148980000
Mahindra,TUV,"2015",9,"8,500 km",Manual,first,Diesel,Nov-24,66850000
Renault,KWID,"2020",4,"71,200 km",Automatic,first,Hybrid/CNG,Nov-24,76400000
Tata,Safari,"2009",15,"132,000 km",Manual,second,Diesel,Nov-24,28650000
Hyundai,Grand i10,"2019",5,"31,000 km",Automatic,first,Petrol,Nov-24,109825000
Maruti Suzuki,Ciaz,"2018",6,"55,000 km",Automatic,second,Hybrid/CNG,Nov-24,143250000
Hyundai,Creta,"2017",7,"68,000 km",Automatic,first,Petrol,Nov-24,150890000
Maruti Suzuki,Vitara-Brezza,"2019",5,"86,739 km",Manual,first,Diesel,Nov-24,148024992
Maruti Suzuki,Ritz,"2014",10,"124,000 km",Manual,second,Diesel,Nov-24,83085000
Hyundai,Xcent,"2015",9,"76,000 km",Manual,first,Diesel,Nov-24,81175000
Honda,Amaze,"2016",8,"102,458 km",Manual,second,Petrol,Nov-24,63985000
Chevrolet,Beat,"2010",14,"77,546 km",Manual,first,Petrol,Nov-24,33234000
Kia,Seltos,"2020",4,"46,000 km",Automatic,first,Diesel,Nov-24,243524992
Skoda,Superb,"2014",10,"92,000 km",Automatic,second,Petrol,Nov-24,87860000
Land Rover,Freelander 2,"2015",9,"180,650 km",Automatic,second,Diesel,Nov-24,238750000
Maruti Suzuki,S-Presso,"2021",3,"82,100 km",Manual,first,Hybrid/CNG,Nov-24,78310000
Maruti Suzuki,Celerio,"2022",2,"10,000 km",Automatic,first,Petrol,Nov-24,112690000
Hyundai,Grand i10 Nios,"2022",2,"24,512 km",Manual,first,Petrol,Nov-24,128925000
Maruti Suzuki,Wagon-R,"2014",10,"100,000 km",Manual,second,Hybrid/CNG,Nov-24,55390000
BMW,X5,"2017",7,"89,000 km",Automatic,second,Diesel,Nov-24,475590016
Maruti Suzuki,Baleno,"2022",2,"9,800 km",Automatic,first,Petrol,Nov-24,150890000
Mercedes-Benz,E-Class,"2011",13,"35,000 km",Automatic,second,Petrol,Nov-24,124150000
Maruti Suzuki,Swift,"2019",5,"58000.0 km",Manual,first,Petrol,Nov-24,117465000
Hyundai,i10,"2012",12,"57,765 km",Automatic,first,Petrol,Nov-24,65895000
Kia,Seltos,"2021",3,"34,500 km",Automatic,second,Diesel,Nov-24,296049984
Hyundai,i10,"2010",14,"75,000 km",Manual,second,Hybrid/CNG,Nov-24,33425000
Volkswagen,Polo,"2019",5,"125,000 km",Manual,first,Diesel,Nov-24,155664992
Volkswagen,VentoTest,"2011",13,"43,000 km",Automatic,second,Petrol,Nov-24,68760000
Audi,Q3,"2015",9,"71,000 km",Automatic,first,Diesel,Nov-24,291275008
Maruti Suzuki,Swift-Dzire,"2022",2,"85,000 km",Automatic,second,Hybrid/CNG,Nov-24,133700000
Toyota,"2.8 Legender 4X2","2023",1,"19,000 km",Automatic,first,Diesel,Nov-24,993200000
Maruti Suzuki,Alto-800,"2019",5,"45,000 km",Manual,first,Petrol,Oct-24,72580000
Maruti Suzuki,Wagon-R-Stingray,"2014",10,"50,000 km",Automatic,second,Hybrid/CNG,Nov-24,57300000
Nissan,Micra Active,"2015",9,"130,000 km",Manual,first,Petrol,Nov-24,64940000
Kia,Seltos,"2023",1,"23,000 km",Automatic,first,Diesel,Nov-24,352395008
Tata,Safari,"2021",3,"45,000 km",Manual,second,Diesel,Oct-24,296049984
Mahindra,Scorpio,"2016",8,"130,000 km",Manual,second,Diesel,Nov-24,207235008
Maruti Suzuki,Celerio,"2017",7,"63,395 km",Manual,first,Hybrid/CNG,Nov-24,80220000
Porsche,Cayenne,"2020",4,"50,000 km",Automatic,first,Hybrid/CNG,Nov-24,2272900096
Maruti Suzuki,Omni,"2019",5,"55,000 km",Automatic,first,Hybrid/CNG,Nov-24,49660000
Honda,City,"2017",7,"92,000 km",Automatic,second,Petrol,Oct-24,124341000
Maruti Suzuki,Grand Vitara,"2022",2,"27,000 km",Automatic,first,Hybrid/CNG,Nov-24,285544992
Audi,A6,"2015",9,"69,977 km",Automatic,first,Diesel,Nov-24,171896368
Maruti Suzuki,Alto-K10,"2015",9,"68,000 km",Manual,first,Hybrid/CNG,Nov-24,54435000
Maruti Suzuki,Dzire,"2022",2,"24950.0 km",Manual,first,Hybrid/CNG,Nov-24,156620000
Maruti Suzuki,Swift,"2009",15,"66,000 km",Manual,second,Petrol,Nov-24,38200000
Mercedes-Benz,GL-Class,"2010",14,"125,000 km",Automatic,second,Diesel,Nov-24,305600000
Maruti Suzuki,Wagon-R,"2015",9,"100,000 km",Manual,second,Hybrid/CNG,Nov-24,45840000
Mahindra,XUV500,"2016",8,"99,000 km",Manual,first,Diesel,Nov-24,138475008
Datsun,GO,"2018",6,"43,000 km",Manual,first,Petrol,Sep-24,74490000
Maruti Suzuki,Wagon R,"2014",10,"51000.0 km",Manual,first,Hybrid/CNG,Nov-24,53480000
Audi,A4,"2012",12,"150,000 km",Manual,first,Diesel,Nov-24,105050000
Maruti Suzuki,Ertiga,"2021",3,"81,800 km",Manual,first,Hybrid/CNG,Nov-24,186224992
Maruti Suzuki,Ertiga,"2014",10,"71,000 km",Automatic,second,Petrol,Nov-24,95500000
Maruti Suzuki,Ertiga,"2019",5,"90,000 km",Manual,second,Hybrid/CNG,Nov-24,143250000
Maruti Suzuki,Celerio,"2017",7,"80,000 km",Manual,first,Hybrid/CNG,Nov-24,76400000
Maruti Suzuki,S-Presso,"2020",4,"31,000 km",Automatic,first,Petrol,Nov-24,80220000
Maruti Suzuki,Wagon-R-1-0,"2006",18,"110,000 km",Manual,second,Hybrid/CNG,Nov-24,17190000
Maruti Suzuki,XL6,"2021",3,"70,000 km",Automatic,first,Hybrid/CNG,Nov-24,183360000
Maruti Suzuki,Ertiga,"2015",9,"42,045 km",Automatic,first,Hybrid/CNG,Nov-24,151844992
Maruti Suzuki,Wagon-R,"2012",12,"80,000 km",Automatic,second,Hybrid/CNG,Nov-24,36290000
Maruti Suzuki,Swift-Dzire,"2014",10,"120,000 km",Automatic,second,Diesel,Nov-24,92253000
Chevrolet,Sail,"2015",9,"170,000 km",Manual,first,Diesel,Nov-24,38200000
Maruti Suzuki,Swift,"2014",10,"60,000 km",Manual,first,Diesel,Nov-24,82130000
Maruti Suzuki,Eeco,"2022",2,"11,000 km",Automatic,first,Hybrid/CNG,Nov-24,124150000
Hyundai,i10,"2012",12,"85,000 km",Manual,second,Petrol,Nov-24,38200000
Maruti Suzuki,Ertiga,"2019",5,"85,000 km",Automatic,first,Petrol,Nov-24,161395008
Skoda,Kodiaq,"2018",6,"90,000 km",Automatic,first,Diesel,Nov-24,380089984
Hyundai,i10,"2011",13,"75,000 km",Automatic,second,Petrol,Nov-24,46795000
Maruti Suzuki,Wagon-R-1-0,"2015",9,"61,000 km",Manual,second,Hybrid/CNG,Nov-24,62075000
Maruti Suzuki,maruti-suzuki-brezza,"2020",4,"38,000 km",Manual,first,Petrol,Nov-24,128925000
Maruti Suzuki,Swift,"2010",14,"85,000 km",Manual,second,Petrol,Nov-24,28650000
Tata,Nexon,"2018",6,"88,000 km",Manual,first,Diesel,Nov-24,145160000
Maruti Suzuki,Swift Dzire,"2018",6,"103,580 km",Manual,first,Diesel,Nov-24,116510000
Hyundai,Santro Xing,"2010",14,"78,000 km",Manual,first,Hybrid/CNG,Nov-24,23111000
Hyundai,Verna,"2019",5,"37,000 km",Manual,second,Petrol,Sep-24,157575008
Maruti Suzuki,Swift-Dzire,"2011",13,"77,500 km",Manual,second,Petrol,Nov-24,50615000
Honda,City,"2018",6,"78,000 km",Automatic,first,Petrol,Nov-24,135610000
Maruti Suzuki,Ertiga,"2023",1,"31,500 km",Manual,first,Hybrid/CNG,Nov-24,213920000
Audi,A6,"2017",7,"71,555 km",Automatic,second,Diesel,Nov-24,372449984
Renault,KWID,"2020",4,"52,000 km",Automatic,first,Hybrid/CNG,Nov-24,66659000
Tata,Tigor,"2023",1,"30,000 km",Manual,first,Hybrid/CNG,Nov-24,129880000
Ford,Ecosport,"2018",6,"55,000 km",Manual,first,Diesel,Nov-24,125105000
Maruti Suzuki,Wagon-R,"2019",5,"49,000 km",Manual,first,Hybrid/CNG,Nov-24,81175000
Maruti Suzuki,Alto-800,"2018",6,"78,000 km",Automatic,second,Hybrid/CNG,Nov-24,49660000
Kia,Seltos,"2022",2,"31,000 km",Automatic,first,Petrol,Nov-24,319924992
Hyundai,i10,"2011",13,"86,000 km",Manual,second,Petrol,Nov-24,34380000
Honda,BRV,"2019",5,"122,000 km",Manual,first,Petrol,Nov-24,114600000
Maruti Suzuki,Eeco,"2017",7,"84,240 km",Automatic,second,Hybrid/CNG,Nov-24,56345000
Maruti Suzuki,Dzire,"2018",6,"44,574 km",Automatic,first,Petrol,Nov-24,128925000
Ford,Endeavour,"2017",7,"90,000 km",Automatic,first,Diesel,Nov-24,401100000
Hyundai,Creta,"2023",1,"6,000 km",Automatic,first,Diesel,Aug-24,384100992
Skoda,Rapid,"2013",11,"54,000 km",Automatic,second,Petrol,Nov-24,81175000
Skoda,Rapid,"2015",9,"104,007 km",Automatic,second,Diesel,Nov-24,76209000
Mahindra,Bolero,"2021",3,"41,000 km",Manual,first,Diesel,Oct-24,162540992
Maruti Suzuki,Baleno,"2018",6,"41,000 km",Automatic,first,Petrol,Nov-24,142295008
Mahindra,XUV 300,"2022",2,"15,000 km",Manual,first,Diesel,Nov-24,190044992
Hyundai,Eon,"2012",12,"40,000 km",Manual,second,Petrol,Nov-24,36290000
Volkswagen,Polo,"2015",9,"75,000 km",Manual,second,Petrol,Nov-24,109825000
Audi,A3,"2015",9,"64,000 km",Automatic,second,Diesel,Nov-24,162350000
Audi,Q7,"2016",8,"118,000 km",Automatic,first,Diesel,Nov-24,572044992
Honda,City,"2017",7,"90,000 km",Automatic,second,Hybrid/CNG,Nov-24,125105000
Toyota,Innova,"2009",15,"110,000 km",Manual,second,Diesel,Nov-24,62075000
Maruti Suzuki,Omni,"2003",21,"64,500 km",Manual,second,Petrol,Nov-24,23875000
Skoda,Rapid,"2016",8,"80,000 km",Automatic,first,Diesel,Nov-24,124341000
Maruti Suzuki,Celerio,"2018",6,"74,000 km",Automatic,first,Hybrid/CNG,Nov-24,85950000
Maruti Suzuki,Baleno,"2017",7,"76,483 km",Manual,second,Petrol,Nov-24,109252000
Maruti Suzuki,Swift,"2015",9,"71,000 km",Manual,first,Petrol,Nov-24,78310000
Honda,City,"2014",10,"53000.0 km",Manual,first,Diesel,Nov-24,90725000
Audi,Q3,"2015",9,"70,000 km",Automatic,first,Diesel,Nov-24,169990000
Hyundai,i20,"2010",14,"51000.0 km",Manual,second,Hybrid/CNG,Nov-24,62075000
Maruti Suzuki,Baleno,"2016",8,"46,000 km",Automatic,second,Petrol,Nov-24,100275000
Mini,Cooper,"2013",11,"65,000 km",Automatic,second,Diesel,Nov-24,246390000
Honda,City,"2015",9,"126,000 km",Manual,second,Diesel,Nov-24,131790000
Maruti Suzuki,Celerio,"2017",7,"160,000 km",Automatic,first,Petrol,Nov-24,71625000
Audi,Q7,"2011",13,"100,000 km",Automatic,first,Diesel,Nov-24,377224992
Maruti Suzuki,Wagon-R-1-0,"2021",3,"45,000 km",Manual,first,Hybrid/CNG,Nov-24,97409808
Honda,City ZX,"2008",16,"119,000 km",Automatic,second,Hybrid/CNG,Nov-24,28077000
Maruti Suzuki,Wagon-R-Stingray,"2021",3,"34,000 km",Automatic,first,Hybrid/CNG,Nov-24,107915000
Maruti Suzuki,Swift-Dzire-Tour,"2021",3,"92,000 km",Manual,first,Hybrid/CNG,Nov-24,100275000
Hyundai,Grand i10,"2016",8,"120,000 km",Manual,first,Petrol,Nov-24,76399808
Mahindra,Scorpio,"2015",9,"61,231 km",Manual,second,Diesel,Nov-24,151844992
Hyundai,i10,"2017",7,"40,000 km",Automatic,first,Petrol,Nov-24,53480000
Toyota,Innova Crysta,"2020",4,"83,000 km",Automatic,first,Petrol,Nov-24,326800992
Maruti Suzuki,Swift-Dzire-Tour,"2020",4,"66,000 km",Automatic,second,Hybrid/CNG,Nov-24,28650000
Maruti Suzuki,Wagon-R,"2013",11,"100,250 km",Manual,second,Hybrid/CNG,Nov-24,50615000
Maruti Suzuki,Swift,"2023",1,"15,500 km",Manual,first,Hybrid/CNG,Nov-24,165215008
Hyundai,Accent,"2008",16,"102,000 km",Manual,first,Petrol,Nov-24,23875000
Toyota,Urban Cruiser Hyryder,"2023",1,"12,000 km",Automatic,first,Hybrid/CNG,Nov-24,372449984
Toyota,Camry,"2014",10,"190,000 km",Automatic,first,Hybrid/CNG,Nov-24,181450000
Hyundai,Eon,"2017",7,"190,000 km",Automatic,first,Hybrid/CNG,Oct-24,42975000
Maruti Suzuki,Baleno-RS,"2017",7,"0",Manual,first,Petrol,Nov-24,89770000
Hyundai,Venue,"2023",1,"28,000 km",Automatic,first,Petrol,Nov-24,238750000
Hyundai,Grand i10,"2013",11,"67,000 km",Manual,first,Hybrid/CNG,Nov-24,71625000
Maruti Suzuki,Omni,"2011",13,"57,000 km",Manual,second,Petrol,Nov-24,22920000
Maruti Suzuki,maruti-suzuki-dzire,"2014",10,"78,000 km",Manual,first,Hybrid/CNG,Nov-24,62075000
Honda,City,"2009",15,"120,000 km",Manual,second,Hybrid/CNG,Nov-24,39155000
Maruti Suzuki,Ertiga,"2021",3,"76,000 km",Automatic,first,Petrol,Nov-24,205324992
MG,Hector Plus,"2024",0,"2,000 km",Manual,first,Diesel,Nov-24,458399808
Maruti Suzuki,Alto,"2010",14,"89000.0 km",Manual,second,Hybrid/CNG,Nov-24,32279000
Mahindra,XUV500,"2016",8,"111,521 km",Manual,first,Diesel,Nov-24,143250000
Maruti Suzuki,Baleno,"2017",7,"14,000 km",Automatic,first,Petrol,Nov-24,124150000
Land Rover,Defender,"2023",1,"12000.0 km",Automatic,second,Petrol,Nov-24,2387500032
Maruti Suzuki,Ciaz,"2015",9,"63,000 km",Automatic,first,Diesel,Nov-24,75445000
Maruti Suzuki,Vitara-Brezza,"2020",4,"43,369 km",Automatic,first,Petrol,Nov-24,167848896
Maruti Suzuki,Swift-Dzire,"2016",8,"78,000 km",Manual,first,Hybrid/CNG,Nov-24,70670000
Audi,Q7,"2015",9,"64,000 km",Automatic,first,Diesel,Nov-24,418289984
Honda,Jazz,"2016",8,"86,000 km",Manual,first,Diesel,Nov-24,87860000
Maruti Suzuki,Eeco,"2019",5,"0",Automatic,second,Hybrid/CNG,Nov-24,85950000
Jaguar,XF,"2013",11,"50,000 km",Automatic,second,Diesel,Nov-24,219650000
Honda,Jazz,"2013",11,"68,000 km",Manual,second,Petrol,Nov-24,42975000
Mercedes-Benz,C-Class,"2018",6,"65,000 km",Automatic,first,Diesel,Nov-24,429750016
Mercedes-Benz,CLA,"2016",8,"56,000 km",Automatic,second,Diesel,Nov-24,442164992
Chevrolet,Sail U-VA,"2010",14,"85,000 km",Automatic,second,Hybrid/CNG,Nov-24,9550000.0
Hyundai,Venue,"2019",5,"100,000 km",Manual,first,Diesel,Nov-24,165215008
MG,Hector,"2020",4,"29,000 km",Automatic,first,Petrol,Nov-24,261670000
Ford,Endeavour,"2018",6,"119,000 km",Automatic,first,Diesel,Nov-24,532889984
Maruti Suzuki,Swift,"2020",4,"52,000 km",Automatic,first,Petrol,Nov-24,119375000
Ford,Ecosport,"2017",7,"55,000 km",Automatic,second,Hybrid/CNG,Nov-24,119375000
Maruti Suzuki,Wagon-R-1-0,"2017",7,"23,119 km",Automatic,first,Hybrid/CNG,Nov-24,81175000
Hyundai,i20,"2018",6,"42,000 km",Manual,second,Petrol,Nov-24,95500000
Maruti Suzuki,Swift,"2021",3,"34000.0 km",Automatic,first,Petrol,Nov-24,150890000
Ford,Ecosport,"2018",6,"75,000 km",Manual,second,Petrol,Nov-24,123195000
Maruti Suzuki,Alto,"2010",14,"110,000 km",Manual,first,Petrol,Nov-24,28650000
Maruti Suzuki,Alto-K10,"2011",13,"103,000 km",Automatic,second,Hybrid/CNG,Nov-24,16808000
Hyundai,Aura,"2022",2,"59,000 km",Automatic,second,Hybrid/CNG,Nov-24,129880000
Audi,A4,"2016",8,"43,715 km",Automatic,second,Diesel,Nov-24,338070016
Maruti Suzuki,Swift,"2017",7,"86,542 km",Manual,first,Diesel,Nov-24,116701000
Toyota,Fortuner,"2018",6,"105,000 km",Automatic,second,Diesel,Nov-24,493735008
Maruti Suzuki,Wagon-R,"2016",8,"55,000 km",Automatic,second,Petrol,Nov-24,81175000
Mahindra,KUV 100,"2016",8,"100,000 km",Manual,first,Petrol,Nov-24,76400000
Maruti Suzuki,Ciaz,"2017",7,"70,000 km",Automatic,first,Petrol,Nov-24,133699808
Mercedes-Benz,GLA,"2017",7,"60,000 km",Automatic,second,Diesel,Nov-24,367675008
Skoda,Rapid,"2017",7,"96,000 km",Manual,second,Diesel,Nov-24,81175000
Maruti Suzuki,Wagon-R-1-0,"2014",10,"81,000 km",Manual,first,Hybrid/CNG,Nov-24,60165000
Toyota,Land Cruiser Prado,"2014",10,"180000.0 km",Automatic,second,Diesel,Nov-24,907249984
Maruti Suzuki,Sx4,"2011",13,"98,000 km",Manual,second,Diesel,Nov-24,44885000
Nissan,PATROL,"2011",13,"90,000 km",Manual,second,Hybrid/CNG,Nov-24,28650000
Kia,Seltos,"2021",3,"48,500 km",Automatic,first,Diesel,Nov-24,329475008
Maruti Suzuki,Swift,"2022",2,"15,000 km",Automatic,first,Petrol,Nov-24,133700000
Tata,Indigo Cs,"2016",8,"0",Automatic,first,Hybrid/CNG,Oct-24,30560000
Skoda,Rapid,"2016",8,"67,000 km",Automatic,first,Diesel,Oct-24,137711008
Hyundai,Aura,"2023",1,"70,000 km",Automatic,first,Hybrid/CNG,Nov-24,42020000
BMW,X1,"2019",5,"60,000 km",Automatic,first,Diesel,Nov-24,439300000
Chevrolet,Sail U-VA,"2016",8,"120,000 km",Manual,second,Diesel,Nov-24,45840000
Mahindra,Bolero,"2021",3,"88,200 km",Manual,first,Diesel,Nov-24,156620000
Maruti Suzuki,Wagon-R,"2018",6,"48,000 km",Automatic,first,Petrol,Nov-24,85568000
Toyota,Innova Hycross,"2023",1,"18,500 km",Automatic,first,Hybrid/CNG,Nov-24,684734976
Honda,City,"2014",10,"84,000 km",Manual,second,Petrol,Nov-24,86905000
Toyota,Urban Cruiser Hyryder,"2022",2,"29,000 km",Automatic,first,Hybrid/CNG,Aug-24,334249984
BMW,"3 Series","2020",4,"44500.0 km",Automatic,first,Diesel,Nov-24,723889984
Ford,Endeavour,"2016",8,"91,000 km",Manual,second,Diesel,Oct-24,360990016
Tata,Punch ,"2023",1,"30,000 km",Automatic,first,Diesel,Nov-24,66850000
Hyundai,Grand i10,"2013",11,"105,000 km",Manual,first,Petrol,Nov-24,60165000
Mahindra,KUV 100,"2017",7,"54,560 km",Manual,second,Diesel,Nov-24,67805000
Mahindra,Bolero,"2013",11,"148000.0 km",Manual,second,Diesel,Nov-24,116510000
Maruti Suzuki,Estilo,"2007",17,"97,000 km",Manual,first,Petrol,Nov-24,26549000
Hyundai,Verna,"2007",17,"51,000 km",Manual,second,Petrol,Nov-24,42975000
Honda,City ZX,"2008",16,"119,000 km",Automatic,second,Hybrid/CNG,Nov-24,28459000
Toyota,Innova,"2020",4,"32,000 km",Automatic,first,Diesel,Nov-24,324700000
Mercedes-Benz,C-Class,"2018",6,"51,000 km",Automatic,second,Diesel,Nov-24,544350016
Ford,Ecosport,"2016",8,"69,000 km",Manual,first,Diesel,Nov-24,95691000
Land Rover,Range Rover Evoque,"2014",10,"58,000 km",Automatic,second,Diesel,Nov-24,341889984
Honda,Civic,"2007",17,"120,000 km",Automatic,second,Hybrid/CNG,Nov-24,27695000
Hyundai,i10,"2011",13,"78,600 km",Manual,second,Petrol,Nov-24,29605000
Mercedes-Benz,GL-Class,"2013",11,"77,000 km",Automatic,second,Diesel,Nov-24,429750016
Hyundai,Accent,"2004",20,"85,000 km",Manual,second,Petrol,Nov-24,26549000
Maruti Suzuki,Swift-Dzire,"2020",4,"10,000 km",Automatic,first,Hybrid/CNG,Nov-24,118420000
Hyundai,Grand i10 Nios,"2022",2,"58,000 km",Manual,first,Petrol,Nov-24,114600000
Mercedes-Benz,A Class,"2014",10,"85,000 km",Automatic,second,Diesel,Nov-24,157575008
Maruti Suzuki,Swift,"2016",8,"85,000 km",Manual,second,Petrol,Nov-24,91680000
BMW,X3,"2014",10,"136,000 km",Automatic,second,Diesel,Oct-24,305600000
Honda,CRV,"2014",10,"87,000 km",Automatic,second,Petrol,Nov-24,118611000
Land Rover,Discovery Sport,"2016",8,"43,000 km",Automatic,second,Petrol,Nov-24,496600000
BMW,"5 Series","2019",5,"47,000 km",Automatic,second,Diesel,Nov-24,477500000
Maruti Suzuki,Wagon-R,"2022",2,"23,000 km",Manual,first,Hybrid/CNG,Nov-24,114409000
Maruti Suzuki,Alto-K10,"2019",5,"60,000 km",Manual,second,Petrol,Nov-24,71625000
Hyundai,Aura,"2021",3,"34,300 km",Manual,first,Hybrid/CNG,Nov-24,134655008
Hyundai,Creta,"2019",5,"71,000 km",Manual,first,Diesel,Nov-24,167124992
Kia,Seltos,"2020",4,"58,000 km",Automatic,second,Petrol,Nov-24,246390000
Maruti Suzuki,Ertiga,"2016",8,"80,000 km",Manual,second,Hybrid/CNG,Nov-24,131789808
Mercedes-Benz,GL-Class,"2013",11,"94,000 km",Automatic,second,Diesel,Nov-24,401100000
Maruti Suzuki,Baleno,"2019",5,"46,000 km",Manual,second,Petrol,Nov-24,97410000
Maruti Suzuki,Swift Dzire,"2014",10,"80,000 km",Manual,second,Diesel,Nov-24,92635000
Maruti Suzuki,maruti-suzuki-dzire,"2014",10,"82,000 km",Manual,first,Diesel,Nov-24,69715000
Hyundai,i10,"2011",13,"140,000 km",Automatic,second,Hybrid/CNG,Nov-24,26740000
Chevrolet,Optra Magnum,"2011",13,"72000.0 km",Manual,second,Hybrid/CNG,Nov-24,38009000
Maruti Suzuki,XL6,"2021",3,"63,900 km",Automatic,first,Petrol,Nov-24,190808992
Skoda,Rapid,"2015",9,"51,000 km",Manual,second,Petrol,Nov-24,66850000
Toyota,Fortuner,"2019",5,"150,000 km",Automatic,first,Diesel,Nov-24,525249984
Maruti Suzuki,Wagon-R,"2013",11,"78,000 km",Manual,second,Hybrid/CNG,Nov-24,57299808
Renault,KWID,"2017",7,"58,097 km",Manual,first,Petrol,Nov-24,67805000
Hyundai,Xcent Prime,"2019",5,"85,000 km",Manual,second,Diesel,Nov-24,97410000
Audi,Q3,"2018",6,"55,100 km",Automatic,second,Diesel,Nov-24,267400000
Jeep,Wrangler,"2023",1,"10,000 km",Automatic,first,Petrol,Nov-24,1222400000
Datsun,GO,"2016",8,"100,200 km",Automatic,second,Hybrid/CNG,Nov-24,30560000
Maruti Suzuki,Eeco,"2022",2,"16,000 km",Manual,first,Hybrid/CNG,Nov-24,118420000
Maruti Suzuki,Wagon-R,"2019",5,"68,000 km",Manual,second,Hybrid/CNG,Nov-24,90725000
Maruti Suzuki,Ertiga,"2015",9,"65,000 km",Automatic,second,Hybrid/CNG,Nov-24,106960000
Hyundai,Grand i10,"2017",7,"31,003 km",Automatic,second,Petrol,Nov-24,103140000
Hyundai,Santro,"2013",11,"54,000 km",Manual,second,Hybrid/CNG,Nov-24,53480000
Maruti Suzuki,Wagon-R,"2017",7,"150,000 km",Automatic,second,Hybrid/CNG,Nov-24,43930000
Hyundai,Creta,"2022",2,"16,000 km",Manual,first,Petrol,Nov-24,248300000
Maruti Suzuki,Swift,"2010",14,"150,000 km",Automatic,second,Hybrid/CNG,Nov-24,21010000
Honda,City ZX,"2007",17,"68,000 km",Manual,first,Petrol,Nov-24,28459000
Maruti Suzuki,Sx4,"2011",13,"91,000 km",Automatic,second,Hybrid/CNG,Nov-24,45840000
Mercedes-Benz,S-Class,"2023",1,"22,000 km",Automatic,first,Diesel,Nov-24,2635800064
Maruti Suzuki,Sx4,"2007",17,"100,000 km",Manual,second,Hybrid/CNG,Nov-24,18718000
Maruti Suzuki,Wagon-R,"2016",8,"78,000 km",Automatic,second,Hybrid/CNG,Nov-24,45840000
Maruti Suzuki,Swift-Dzire,"2015",9,"61,000 km",Manual,second,Diesel,Nov-24,95309000
Maruti Suzuki,Baleno,"2017",7,"70,000 km",Manual,first,Petrol,Nov-24,127970000
Hyundai,Creta,"2019",5,"70500.0 km",Automatic,first,Diesel,Nov-24,281724992
Maruti Suzuki,Ritz,"2015",9,"66,000 km",Manual,second,Petrol,Nov-24,66850000
Hyundai,i10,"2009",15,"104,000 km",Automatic,second,Hybrid/CNG,Nov-24,42975000
Maruti Suzuki,Swift,"2013",11,"80,000 km",Manual,first,Hybrid/CNG,Nov-24,74490000
Mini,Cooper S,"2023",1,"4,000 km",Automatic,first,Petrol,Nov-24,1050499968
Mahindra,Scorpio,"2015",9,"89,000 km",Manual,second,Diesel,Nov-24,203415008
